province-name,district-name,total,household
กรุงเทพมหานคร,พระนคร,43062,19140
กรุงเทพมหานคร,ดุสิต,81494,31693
กรุงเทพมหานคร,หนองจอก,178856,68505
กรุงเทพมหานคร,บางรัก,45015,32664
กรุงเทพมหานคร,บางเขน,186200,115522
กรุงเทพมหานคร,บางกะปิ,142574,109419
กรุงเทพมหานคร,ปทุมวัน,41763,32328
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,40418,19609
กรุงเทพมหานคร,พระโขนง,87018,61515
กรุงเทพมหานคร,มีนบุรี,141374,63274
กรุงเทพมหานคร,ลาดกระบัง,178424,100871
กรุงเทพมหานคร,ยานนาวา,75076,53663
กรุงเทพมหานคร,สัมพันธวงศ์,20777,13177
กรุงเทพมหานคร,พญาไท,66212,44826
กรุงเทพมหานคร,ธนบุรี,101217,61449
กรุงเทพมหานคร,บางกอกใหญ่,62650,32521
กรุงเทพมหานคร,ห้วยขวาง,83278,86846
กรุงเทพมหานคร,คลองสาน,67579,40914
กรุงเทพมหานคร,ตลิ่งชัน,102469,43319
กรุงเทพมหานคร,บางกอกน้อย,101511,51364
กรุงเทพมหานคร,บางขุนเทียน,184994,92129
กรุงเทพมหานคร,ภาษีเจริญ,122824,65974
กรุงเทพมหานคร,หนองแขม,155360,63568
กรุงเทพมหานคร,ราษฎร์บูรณะ,77509,38059
กรุงเทพมหานคร,บางพลัด,88290,57812
กรุงเทพมหานคร,ดินแดง,112814,63891
กรุงเทพมหานคร,บึงกุ่ม,139334,76268
กรุงเทพมหานคร,สาทร,73987,43840
กรุงเทพมหานคร,บางซื่อ,120718,76659
กรุงเทพมหานคร,จตุจักร,154146,129790
กรุงเทพมหานคร,บางคอแหลม,80978,40393
กรุงเทพมหานคร,ประเวศ,181632,93842
กรุงเทพมหานคร,คลองเตย,91636,78678
กรุงเทพมหานคร,สวนหลวง,122824,82161
กรุงเทพมหานคร,จอมทอง,145771,73995
กรุงเทพมหานคร,ดอนเมือง,167921,78493
กรุงเทพมหานคร,ราชเทวี,67735,54612
กรุงเทพมหานคร,ลาดพร้าว,115602,58086
กรุงเทพมหานคร,วัฒนา,81382,82927
กรุงเทพมหานคร,บางแค,192431,94679
กรุงเทพมหานคร,หลักสี่,100534,58706
กรุงเทพมหานคร,สายไหม,206831,106948
กรุงเทพมหานคร,คันนายาว,95636,46218
กรุงเทพมหานคร,สะพานสูง,95922,41892
กรุงเทพมหานคร,วังทองหลาง,105901,63328
กรุงเทพมหานคร,คลองสามวา,206437,88145
กรุงเทพมหานคร,บางนา,87053,72310
กรุงเทพมหานคร,ทวีวัฒนา,78798,34905
กรุงเทพมหานคร,ทุ่งครุ,123392,55205
กรุงเทพมหานคร,บางบอน,102635,51099
