จังหวัด,เขต,คะแนนรวม,บริการสาธารณะ/อันดับ,บริการสาธารณะ/คะแนน,เศรษฐกิจ/อันดับ,เศรษฐกิจ/คะแนน,สวัสดิภาพ/อันดับ,สวัสดิภาพ/คะแนน,สิ่งแวดล้อม/อันดับ,สิ่งแวดล้อม/คะแนน
กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,34.85,15,29.79,8,39.56,1,43.54,21,26.5
กรุงเทพมหานคร,ปทุมวัน,34.75,2,38.79,1,48.69,7,35.13,45,16.38
กรุงเทพมหานคร,พระนคร,34.75,17,28.88,6,41.56,4,38.08,15,30.5
กรุงเทพมหานคร,สัมพันธวงศ์,33.53,26,26.21,4,43.19,2,41.08,32,23.63
กรุงเทพมหานคร,ราชเทวี,32.32,4,37.92,10,38.31,22,26.67,22,26.38
กรุงเทพมหานคร,สาทร,30.69,14,29.83,11,36.0,13,32.04,27,24.88
กรุงเทพมหานคร,บางรัก,30.57,7,33.96,2,48.25,19,28.21,48,11.88
กรุงเทพมหานคร,ห้วยขวาง,30.24,5,37.13,5,42.81,40,19.38,37,21.63
กรุงเทพมหานคร,พญาไท,29.9,12,30.25,13,33.81,11,32.92,34,22.63
กรุงเทพมหานคร,ดุสิต,29.76,10,31.58,26,24.0,16,30.46,7,33.0
กรุงเทพมหานคร,หลักสี่,29.59,13,29.88,25,24.06,5,35.92,18,28.5
กรุงเทพมหานคร,วัฒนา,29.48,9,33.08,3,45.56,38,20.04,43,19.25
กรุงเทพมหานคร,บางกอกใหญ่,29.47,32,22.96,23,27.56,3,39.75,19,27.63
กรุงเทพมหานคร,บางกอกน้อย,29.23,8,33.33,15,32.69,27,25.29,26,25.63
กรุงเทพมหานคร,คลองเตย,29.18,1,38.96,7,39.63,29,24.13,46,14.0
กรุงเทพมหานคร,มีนบุรี,28.67,28,24.04,30,22.44,14,31.08,2,37.13
กรุงเทพมหานคร,บางพลัด,28.42,3,38.46,32,21.13,8,34.21,41,19.88
กรุงเทพมหานคร,ทวีวัฒนา,28.24,44,15.67,19,29.31,6,35.21,10,32.75
กรุงเทพมหานคร,ตลิ่งชัน,28.22,24,27.29,27,23.94,18,28.63,7,33.0
กรุงเทพมหานคร,คลองสาน,28.18,19,28.63,14,33.38,12,32.46,44,18.25
กรุงเทพมหานคร,สวนหลวง,28.02,20,28.21,19,29.31,24,25.92,17,28.63
กรุงเทพมหานคร,บางคอแหลม,27.93,34,21.88,12,34.31,23,26.54,16,29.0
กรุงเทพมหานคร,สะพานสูง,27.29,29,23.92,36,20.13,15,30.63,4,34.5
กรุงเทพมหานคร,ยานนาวา,27.01,35,21.42,8,39.56,20,27.54,42,19.5
กรุงเทพมหานคร,ราษฎร์บูรณะ,26.94,36,21.25,34,20.5,9,34.13,11,31.88
กรุงเทพมหานคร,พระโขนง,26.63,18,28.67,29,23.44,10,33.67,38,20.75
กรุงเทพมหานคร,คันนายาว,25.16,38,21.17,24,25.69,33,22.67,14,31.13
กรุงเทพมหานคร,จตุจักร,24.35,6,37.04,16,31.63,50,7.0,36,21.75
กรุงเทพมหานคร,ดอนเมือง,24.15,25,26.75,40,13.0,28,25.08,12,31.75
กรุงเทพมหานคร,บางกะปิ,24.12,21,28.08,22,27.88,48,13.13,20,27.38
กรุงเทพมหานคร,ธนบุรี,24.0,11,31.42,37,19.88,30,24.08,39,20.63
กรุงเทพมหานคร,ดินแดง,22.88,16,28.96,28,23.69,26,25.5,47,13.38
กรุงเทพมหานคร,ลาดพร้าว,22.61,39,20.25,21,28.0,44,17.92,30,24.25
กรุงเทพมหานคร,บางนา,22.01,22,27.38,16,31.63,42,18.29,50,10.75
กรุงเทพมหานคร,จอมทอง,21.78,43,16.38,44,9.63,21,27.5,5,33.63
กรุงเทพมหานคร,บางซื่อ,21.46,31,23.04,39,15.19,35,21.75,24,25.88
กรุงเทพมหานคร,บางบอน,21.14,45,13.25,31,21.44,31,23.5,22,26.38
กรุงเทพมหานคร,ลาดกระบัง,20.98,41,18.96,33,20.75,37,20.96,33,23.25
กรุงเทพมหานคร,บึงกุ่ม,20.89,33,22.71,38,17.06,41,19.04,28,24.75
กรุงเทพมหานคร,ภาษีเจริญ,20.85,27,24.5,42,10.25,32,22.79,24,25.88
กรุงเทพมหานคร,คลองสามวา,20.71,49,11.17,43,9.75,17,30.17,12,31.75
กรุงเทพมหานคร,ประเวศ,20.36,42,17.25,35,20.31,34,21.88,35,22.0
กรุงเทพมหานคร,วังทองหลาง,20.28,22,27.38,18,30.94,49,11.54,49,11.25
กรุงเทพมหานคร,หนองจอก,20.09,40,19.58,47,6.88,36,21.04,9,32.88
กรุงเทพมหานคร,บางเขน,19.8,30,23.5,49,5.81,25,25.75,31,24.13
กรุงเทพมหานคร,ทุ่งครุ,19.55,45,13.25,45,9.31,45,15.25,1,40.38
กรุงเทพมหานคร,สายไหม,17.91,36,21.25,48,6.31,39,19.46,29,24.63
กรุงเทพมหานคร,บางขุนเทียน,17.64,47,12.46,41,11.56,47,13.29,6,33.25
กรุงเทพมหานคร,บางแค,16.9,48,12.0,50,5.75,46,14.96,3,34.88
กรุงเทพมหานคร,หนองแขม,13.67,50,7.75,46,8.31,43,18.13,40,20.5
